t_uid,mr_id,tstamp,anomalous,expected,max,min,value
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 19:20:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,54674.800000000003
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 19:25:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,53031.888888888891
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 19:30:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,54834.857142857145
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 19:35:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,54729.666666666664
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 19:40:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55151.466666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 19:45:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,54025.599999999999
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 19:50:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,55021.533333333333
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 19:55:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55045.800000000003
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 20:00:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,56270.400000000001
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 20:05:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55701.26666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-24 20:10:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,52615.400000000001
